asset,pre_event,shock,reopen
WTI,16.92,32.94,27.47
SP500,0.3,2.32,0.14
CVX,20.97,-0.76,4.47
XOM,25.17,-1.45,5.62
JETS,0.57,-3.86,-10.71
GOLD,21.23,-9.61,-6.43
