,Asset,Day-1 Shock,Day-1 Reopen,Shock Window,Reopen Window,Shock Ann Vol,Shock Max DD
0,WTI Crude,+6.3%,-11.4%,+32.9%,+27.5%,+98.5%,-19.2%
1,S&P 500,+0.0%,+1.2%,+2.3%,+0.1%,+17.5%,-7.8%
2,Gold,+1.2%,+1.5%,-9.6%,-6.4%,+34.0%,-17.4%
3,Exxon (XOM),+1.1%,-3.6%,-1.4%,+5.6%,+29.2%,-13.1%
4,Chevron (CVX),N/A,N/A,-0.8%,+4.5%,+27.7%,-12.4%
5,Airlines ETF,-2.6%,+4.8%,-3.9%,-10.7%,+38.1%,-14.7%
