,lag,correlation,is_peak
0,-5,-0.156,False
1,-4,-0.216,False
2,-3,0.032,False
3,-2,0.2,False
4,-1,-0.008,False
5,0,-0.435,True
6,1,-0.006,False
7,2,0.152,False
8,3,-0.039,False
9,4,-0.12,False
10,5,-0.121,False
